stationID,CONTINENT,lon,lat,WMO_zone,percent_rank_level_EWM_His,percent_rank_level_EWM_soc_126,percent_rank_level_EWM_soc_585
282,South America,-67.5,-55.836982706677,5,6,3,6
288,South America,-70.5,-54.836982706677,5,5,3,4
289,South America,-69.5,-54.836982706677,5,5,3,4
290,South America,-68.5,-54.836982706677,5,6,6,8
291,South America,-67.5,-54.836982706677,5,6,4,4
292,South America,-66.5,-54.836982706677,5,6,3,4
293,South America,-65.5,-54.836982706677,5,6,3,5
294,South America,-64.5,-54.836982706677,5,6,3,5
303,South America,-72.5,-53.836982706677,5,4,3,5
305,South America,-70.5,-53.836982706677,5,4,6,8
306,South America,-69.5,-53.836982706677,5,5,3,4
307,South America,-68.5,-53.836982706677,5,5,3,4
313,South America,-74.5,-52.836982706677,5,4,3,5
315,South America,-72.5,-52.836982706677,4,3,3,4
316,South America,-71.5,-52.836982706677,4,3,3,3
318,South America,-69.5,-52.836982706677,5,5,3,3
319,South America,-68.5,-52.836982706677,5,5,4,4
326,South America,-73.5,-51.836982706677,4,3,3,5
328,South America,-71.5,-51.836982706677,2,3,3,4
329,South America,-70.5,-51.836982706677,1,3,3,3
330,South America,-69.5,-51.836982706677,1,4,6,8
335,South America,-58.5,-51.836982706677,5,5,3,5
338,South America,-74.5,-50.836982706677,5,4,3,5
339,South America,-73.5,-50.836982706677,7,4,3,4
340,South America,-72.5,-50.836982706677,3,3,3,5
341,South America,-71.5,-50.836982706677,2,3,3,4
342,South America,-70.5,-50.836982706677,1,3,3,4
343,South America,-69.5,-50.836982706677,1,3,3,4
352,South America,-74.5,-49.836982706677,5,5,3,5
353,South America,-73.5,-49.836982706677,7,4,3,5
354,South America,-72.5,-49.836982706677,3,3,3,3
355,South America,-71.5,-49.836982706677,3,3,3,5
356,South America,-70.5,-49.836982706677,2,3,3,4
357,South America,-69.5,-49.836982706677,2,3,3,4
358,South America,-68.5,-49.836982706677,1,3,3,3
366,South America,-73.5,-48.836982706677,7,5,3,5
367,South America,-72.5,-48.836982706677,3,4,3,4
368,South America,-71.5,-48.836982706677,3,3,3,5
369,South America,-70.5,-48.836982706677,3,3,3,5
370,South America,-69.5,-48.836982706677,2,3,3,4
371,South America,-68.5,-48.836982706677,1,3,3,3
372,South America,-67.5,-48.836982706677,2,3,3,4
379,South America,-73.5,-47.836982706677,4,6,3,6
380,South America,-72.5,-47.836982706677,3,5,3,5
381,South America,-71.5,-47.836982706677,3,3,3,5
382,South America,-70.5,-47.836982706677,2,3,3,4
383,South America,-69.5,-47.836982706677,2,3,3,3
384,South America,-68.5,-47.836982706677,2,3,3,3
385,South America,-67.5,-47.836982706677,2,3,3,4
386,South America,-66.5,-47.836982706677,2,3,3,3
389,South America,-75.5,-46.836982706677,4,8,4,6
391,South America,-73.5,-46.836982706677,7,8,3,6
392,South America,-72.5,-46.836982706677,3,6,3,3
393,South America,-71.5,-46.836982706677,3,3,3,3
394,South America,-70.5,-46.836982706677,2,3,3,4
395,South America,-69.5,-46.836982706677,2,3,3,4
396,South America,-68.5,-46.836982706677,1,3,4,6
397,South America,-67.5,-46.836982706677,1,3,6,7
409,South America,-74.5,-45.836982706677,4,8,4,6
410,South America,-73.5,-45.836982706677,4,8,3,6
411,South America,-72.5,-45.836982706677,3,7,5,8
412,South America,-71.5,-45.836982706677,3,4,3,3
413,South America,-70.5,-45.836982706677,1,3,3,4
414,South America,-69.5,-45.836982706677,1,3,3,4
415,South America,-68.5,-45.836982706677,2,3,3,4
416,South America,-67.5,-45.836982706677,6,3,6,7
418,Oceania,166.5,-45.836982706677,4,7,4,6
419,Oceania,167.5,-45.836982706677,3,7,4,6
420,Oceania,168.5,-45.836982706677,3,7,5,8
421,Oceania,169.5,-45.836982706677,3,8,5,7
422,Oceania,170.5,-45.836982706677,3,8,6,8
427,South America,-72.5,-44.836982706677,3,8,3,6
428,South America,-71.5,-44.836982706677,3,6,3,3
429,South America,-70.5,-44.836982706677,1,4,3,4
430,South America,-69.5,-44.836982706677,3,4,3,4
431,South America,-68.5,-44.836982706677,3,4,3,4
432,South America,-67.5,-44.836982706677,2,4,3,3
433,South America,-66.5,-44.836982706677,2,4,3,3
436,Oceania,167.5,-44.836982706677,3,8,4,6
437,Oceania,168.5,-44.836982706677,3,8,5,7
438,Oceania,169.5,-44.836982706677,3,8,4,7
439,Oceania,170.5,-44.836982706677,3,8,4,6
444,South America,-72.5,-43.836982706677,3,8,3,6
445,South America,-71.5,-43.836982706677,3,7,3,4
446,South America,-70.5,-43.836982706677,3,5,3,4
447,South America,-69.5,-43.836982706677,3,5,3,4
448,South America,-68.5,-43.836982706677,3,4,3,4
449,South America,-67.5,-43.836982706677,2,4,3,4
450,South America,-66.5,-43.836982706677,2,4,3,3
451,South America,-65.5,-43.836982706677,1,4,6,7
456,Oceania,169.5,-43.836982706677,3,8,6,8
457,Oceania,170.5,-43.836982706677,3,8,6,8
458,Oceania,171.5,-43.836982706677,3,8,5,8
462,South America,-73.5,-42.836982706677,5,8,5,7
463,South America,-72.5,-42.836982706677,3,8,3,6
464,South America,-71.5,-42.836982706677,3,7,5,7
465,South America,-70.5,-42.836982706677,3,7,3,4
466,South America,-69.5,-42.836982706677,3,6,3,4
467,South America,-68.5,-42.836982706677,3,5,3,5
468,South America,-67.5,-42.836982706677,3,5,3,4
469,South America,-66.5,-42.836982706677,1,5,3,3
470,South America,-65.5,-42.836982706677,1,5,5,7
473,Oceania,145.5,-42.836982706677,5,7,4,5
474,Oceania,146.5,-42.836982706677,5,5,3,3
475,Oceania,147.5,-42.836982706677,5,2,6,8
479,Oceania,171.5,-42.836982706677,3,8,6,8
480,Oceania,172.5,-42.836982706677,3,8,6,8
484,South America,-72.5,-41.836982706677,4,8,6,8
485,South America,-71.5,-41.836982706677,3,8,6,8
486,South America,-70.5,-41.836982706677,3,7,3,4
487,South America,-69.5,-41.836982706677,3,7,3,5
488,South America,-68.5,-41.836982706677,3,6,3,5
489,South America,-67.5,-41.836982706677,2,6,3,4
490,South America,-66.5,-41.836982706677,2,5,3,3
491,South America,-65.5,-41.836982706677,2,5,3,4
495,Oceania,145.5,-41.836982706677,5,8,5,7
496,Oceania,146.5,-41.836982706677,5,3,5,7
497,Oceania,147.5,-41.836982706677,5,2,5,7
499,Oceania,171.5,-41.836982706677,3,8,6,8
500,Oceania,172.5,-41.836982706677,3,8,6,8
501,Oceania,173.5,-41.836982706677,3,8,7,8
504,South America,-73.5,-40.836982706677,3,8,6,8
505,South America,-72.5,-40.836982706677,3,8,5,8
506,South America,-71.5,-40.836982706677,3,8,4,6
507,South America,-70.5,-40.836982706677,3,7,3,5
508,South America,-69.5,-40.836982706677,2,7,3,5
509,South America,-68.5,-40.836982706677,2,6,4,5
510,South America,-67.5,-40.836982706677,2,6,3,4
511,South America,-66.5,-40.836982706677,2,6,3,4
512,South America,-65.5,-40.836982706677,1,5,3,4
